time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.36,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.42,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.48,0.0,0.0
0.5,0.0,0.0
0.52,0.0,0.0
0.54,0.0,0.0
0.56,0.0,0.0
0.58,0.0,0.0
0.6,0.0,0.0
0.62,0.0,0.0
0.64,0.0,0.0
0.66,0.0,0.0
0.68,0.0,0.0
0.7,0.0,0.0
0.72,0.0,0.0
0.74,0.0,0.0
0.76,0.0,0.0
0.78,0.0,0.0
0.8,0.0,0.0
0.82,0.0,0.0
0.84,0.0,0.0
0.86,0.0,0.0
0.88,0.0,0.0
0.9,0.0,0.0
0.92,0.0,0.0
0.94,0.0,0.0
0.96,0.0,0.0
0.98,4.695012e-06,6.103515625e-05
1.0,0.0010099974,0.013031005859375
1.02,0.021996617,0.112213134765625
1.04,0.115820974,0.673583984375
1.06,0.29084355,0.9345703125
1.08,0.33138162,0.9345703125
1.1,0.21718211,0.636016845703125
1.12,0.16662632,0.512176513671875
1.14,0.14455311,0.461395263671875
1.16,0.14343445,0.420562744140625
1.18,0.1412981,0.40289306640625
1.2,0.13413739,0.379425048828125
1.22,0.123926364,0.4097900390625
1.24,0.114080586,0.4097900390625
1.26,0.09776985,0.4097900390625
1.28,0.08131657,0.369110107421875
1.3,0.05556845,0.194305419921875
1.32,0.043838322,0.164154052734375
1.34,0.04295284,0.164154052734375
1.36,0.040254183,0.11663818359375
1.38,0.045852255,0.132904052734375
1.4,0.0495887,0.142547607421875
1.42,0.046553876,0.142547607421875
1.44,0.043876864,0.142547607421875
1.46,0.03764611,0.14166259765625
1.48,0.03527358,0.14166259765625
1.5,0.033618674,0.10162353515625
1.52,0.031982277,0.10113525390625
1.54,0.02762218,0.082550048828125
1.56,0.023763958,0.0760498046875
1.58,0.01979803,0.0740966796875
1.6,0.014573743,0.042724609375
1.62,0.010804022,0.042724609375
1.64,0.007850138,0.026275634765625
1.66,0.06583435,0.787994384765625
1.68,0.2206127,0.958038330078125
1.7,0.25223568,0.958038330078125
1.72,0.17855185,0.561279296875
1.74,0.16434512,0.52032470703125
1.76,0.14292754,0.4671630859375
1.78,0.12227884,0.34228515625
1.8,0.120473534,0.407745361328125
1.82,0.11564719,0.407745361328125
1.84,0.10316279,0.316741943359375
1.86,0.09174186,0.278472900390625
1.88,0.074557275,0.22943115234375
1.9,0.05500747,0.20068359375
1.92,0.039423592,0.11590576171875
1.94,0.028702155,0.083648681640625
1.96,0.02026877,0.056671142578125
1.98,0.01732013,0.061981201171875
