time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,3.711733e-06,3.0517578125e-05
0.22,0.00031443438,0.0013427734375
0.24,0.082393594,0.509796142578125
0.26,0.28519872,0.770904541015625
0.28,0.33984786,0.770904541015625
0.3,0.28667113,0.6380615234375
0.32,0.26957816,0.67626953125
0.34,0.2792619,0.67626953125
0.36,0.24456424,0.482330322265625
0.38,0.22599764,0.482330322265625
0.4,0.19497341,0.451019287109375
0.42,0.1634238,0.451019287109375
0.44,0.11435427,0.301361083984375
0.46,0.11513775,0.248199462890625
0.48,0.123472765,0.248199462890625
0.5,0.10472327,0.24688720703125
0.52,0.071594745,0.224151611328125
0.54,0.045248833,0.128509521484375
0.56,0.100579,0.5645751953125
0.58,0.17676657,0.6068115234375
0.6,0.24827276,0.68511962890625
0.62,0.2606494,0.68524169921875
0.64,0.25142714,0.68524169921875
0.66,0.17851745,0.62042236328125
0.68,0.10774846,0.4464111328125
0.7,0.08259062,0.2890625
0.72,0.07069644,0.238067626953125
0.74,0.24212983,0.76739501953125
0.76,0.3256596,0.76739501953125
0.78,0.31090793,0.76739501953125
0.8,0.26345763,0.665985107421875
0.82,0.29064363,0.665985107421875
0.84,0.24327163,0.491180419921875
0.86,0.22654036,0.487213134765625
0.88,0.2110199,0.446868896484375
0.9,0.2567116,0.79632568359375
0.92,0.33748567,0.89593505859375
0.94,0.32061964,0.89593505859375
0.96,0.2738778,0.610626220703125
0.98,0.2744084,0.610626220703125
1.0,0.23053578,0.60723876953125
1.02,0.22305252,0.4786376953125
1.04,0.20277853,0.474395751953125
1.06,0.16262287,0.402557373046875
1.08,0.12897806,0.375
1.1,0.09641632,0.2255859375
1.12,0.12059843,0.253326416015625
1.14,0.10800392,0.253326416015625
1.16,0.07929007,0.247894287109375
1.18,0.034369536,0.085693359375
1.2,0.010937711,0.03424072265625
1.22,0.15609357,0.664093017578125
1.24,0.23079151,0.71771240234375
1.26,0.2681949,0.71771240234375
1.28,0.2534954,0.71771240234375
1.3,0.22459497,0.682098388671875
1.32,0.16595197,0.5640869140625
1.34,0.10241961,0.333526611328125
1.36,0.088939235,0.256134033203125
1.38,0.15837047,0.701141357421875
1.4,0.30596462,0.72650146484375
1.42,0.3298107,0.72650146484375
1.44,0.27802184,0.63873291015625
1.46,0.26767632,0.651153564453125
1.48,0.27271205,0.651153564453125
1.5,0.23770677,0.485015869140625
1.52,0.21323258,0.485015869140625
1.54,0.21020603,0.66265869140625
1.56,0.31332573,0.867218017578125
1.58,0.33630195,0.867218017578125
1.6,0.2794096,0.633453369140625
1.62,0.26426625,0.627838134765625
1.64,0.2601646,0.627838134765625
1.66,0.22664598,0.47332763671875
1.68,0.21410234,0.47332763671875
1.7,0.18583503,0.436492919921875
1.72,0.14383611,0.36334228515625
1.74,0.11343648,0.315216064453125
