time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,1.0671904e-05,3.0517578125e-05
0.22,2.1875096e-05,6.103515625e-05
0.24,3.1054584e-05,6.103515625e-05
0.26,2.7393158e-05,6.103515625e-05
0.28,1.940542e-05,0.0001220703125
0.3,0.03208412,0.264801025390625
0.32,0.07411198,0.317413330078125
0.34,0.09507612,0.317413330078125
0.36,0.08656031,0.26611328125
0.38,0.071653314,0.247711181640625
0.4,0.058429737,0.219482421875
0.42,0.03912052,0.169158935546875
0.44,0.02962867,0.09710693359375
0.46,0.029382288,0.09710693359375
0.48,0.02480601,0.09710693359375
0.5,0.013723219,0.048126220703125
0.52,0.007943196,0.044677734375
0.54,0.004901264,0.017974853515625
0.56,0.0074845604,0.03765869140625
0.58,0.009496115,0.03765869140625
0.6,0.009053108,0.03765869140625
0.62,0.006188447,0.024200439453125
0.64,0.0037841802,0.017364501953125
0.66,0.002721009,0.0113525390625
0.68,0.012620464,0.07745361328125
0.7,0.019953668,0.079620361328125
0.72,0.021510586,0.079620361328125
0.74,0.015424937,0.06396484375
0.76,0.010405209,0.045257568359375
0.78,0.010442343,0.1131591796875
0.8,0.06806624,0.364288330078125
0.82,0.09078107,0.364288330078125
0.84,0.08890662,0.336029052734375
0.86,0.07102476,0.22869873046875
0.88,0.05483525,0.22869873046875
0.9,0.035685416,0.147003173828125
0.92,0.027558621,0.09771728515625
0.94,0.026801996,0.09771728515625
0.96,0.022929525,0.09771728515625
0.98,0.015881235,0.073333740234375
1.0,0.0101963645,0.0560302734375
1.02,0.0068642506,0.0240478515625
1.04,0.010942565,0.053131103515625
1.06,0.01497091,0.053131103515625
1.08,0.01451404,0.053131103515625
1.1,0.009279533,0.0426025390625
1.12,0.0056429165,0.0242919921875
1.14,0.0037409144,0.012237548828125
1.16,0.016206345,0.109283447265625
1.18,0.02423772,0.109283447265625
1.2,0.025014939,0.109283447265625
1.22,0.016563654,0.078399658203125
1.24,0.01092138,0.042236328125
1.26,0.00597802,0.03204345703125
1.28,0.030408712,0.23553466796875
1.3,0.07498121,0.320037841796875
1.32,0.09492878,0.320037841796875
1.34,0.08382324,0.27838134765625
1.36,0.070565626,0.2177734375
1.38,0.05221949,0.2177734375
1.4,0.03268371,0.127838134765625
1.42,0.022215635,0.0836181640625
1.44,0.020664439,0.07635498046875
1.46,0.020688195,0.07635498046875
1.48,0.015881447,0.069122314453125
1.5,0.010246814,0.04010009765625
1.52,0.0058802925,0.027130126953125
1.54,0.009908346,0.053741455078125
1.56,0.013788075,0.053741455078125
1.58,0.013017318,0.053741455078125
1.6,0.007812236,0.039306640625
1.62,0.0042696786,0.018218994140625
1.64,0.0031023459,0.011077880859375
1.66,0.0066882023,0.04144287109375
1.68,0.016270367,0.081756591796875
1.7,0.020283263,0.081756591796875
