time_s,rms,peak
0.0,2.7576953e-05,0.000152587890625
0.02,7.895325e-05,0.000152587890625
0.04,9.291202e-05,0.000152587890625
0.06,7.157648e-05,0.000152587890625
0.08,5.133297e-05,0.0001220703125
0.1,3.8478098e-05,9.1552734375e-05
0.12,2.9616434e-05,9.1552734375e-05
0.14,2.6455049e-05,6.103515625e-05
0.16,2.524706e-05,6.103515625e-05
0.18,2.4769619e-05,6.103515625e-05
0.2,2.5155949e-05,6.103515625e-05
0.22,2.4073863e-05,6.103515625e-05
0.24,2.2780085e-05,6.103515625e-05
0.26,2.2699303e-05,6.103515625e-05
0.28,2.2679063e-05,6.103515625e-05
0.3,2.3435903e-05,6.103515625e-05
0.32,2.4320585e-05,6.103515625e-05
0.34,2.4639496e-05,6.103515625e-05
0.36,2.4320585e-05,6.103515625e-05
0.38,2.1854092e-05,6.103515625e-05
0.4,2.1343809e-05,6.103515625e-05
0.42,2.1727645e-05,6.103515625e-05
0.44,2.2270397e-05,6.103515625e-05
0.46,2.174877e-05,6.103515625e-05
0.48,2.0732612e-05,6.103515625e-05
0.5,2.0887088e-05,6.103515625e-05
0.52,2.0996733e-05,6.103515625e-05
0.54,2.028477e-05,6.103515625e-05
0.56,2.1170981e-05,6.103515625e-05
0.58,2.2719525e-05,6.103515625e-05
0.6,2.2332175e-05,6.103515625e-05
0.62,2.125757e-05,6.103515625e-05
0.64,2.0352574e-05,6.103515625e-05
0.66,2.2042403e-05,6.103515625e-05
0.68,2.2104816e-05,6.103515625e-05
0.7,2.1515249e-05,6.103515625e-05
0.72,2.2496082e-05,6.103515625e-05
0.74,2.1937985e-05,6.103515625e-05
0.76,2.2084032e-05,6.103515625e-05
0.78,2.1600457e-05,6.103515625e-05
0.8,2.1958907e-05,6.103515625e-05
0.82,2.2270397e-05,6.103515625e-05
0.84,2.1937985e-05,6.103515625e-05
0.86,2.1854092e-05,6.103515625e-05
0.88,2.1706497e-05,6.103515625e-05
0.9,2.2187762e-05,6.103515625e-05
0.92,2.0909063e-05,6.103515625e-05
0.94,2.0599282e-05,6.103515625e-05
0.96,1.980364e-05,6.103515625e-05
0.98,2.3040664e-05,6.103515625e-05
1.0,1.949985e-05,6.103515625e-05
1.02,1.1093881e-05,3.0517578125e-05
1.04,0.0,0.0
1.06,0.0,0.0
1.08,0.0,0.0
1.1,0.0,0.0
1.12,0.0,0.0
1.14,0.0,0.0
1.16,1.245875e-05,6.103515625e-05
1.18,1.8608089e-05,6.103515625e-05
1.2,2.4583518e-05,6.103515625e-05
1.22,2.4658128e-05,6.103515625e-05
1.24,2.3298333e-05,6.103515625e-05
1.26,2.1854092e-05,6.103515625e-05
1.28,2.0599282e-05,6.103515625e-05
1.3,2.14297e-05,6.103515625e-05
1.32,2.1192662e-05,6.103515625e-05
1.34,2.2000695e-05,6.103515625e-05
1.36,2.3514152e-05,6.103515625e-05
1.38,2.3318034e-05,6.103515625e-05
1.4,2.257759e-05,6.103515625e-05
1.42,2.2000695e-05,6.103515625e-05
1.44,2.0732612e-05,6.103515625e-05
1.46,2.174877e-05,6.103515625e-05
1.48,0.0019400964,0.0130615234375
1.5,0.0036416291,0.014312744140625
1.52,0.0038541048,0.014312744140625
1.54,0.0025698936,0.01116943359375
1.56,0.0013285308,0.00531005859375
1.58,0.0007208245,0.002960205078125
1.6,0.00039151774,0.000823974609375
1.62,0.00042070381,0.0006103515625
1.64,0.000313126,0.00054931640625
1.66,0.00014617507,0.000335693359375
1.68,7.075047e-05,0.0001220703125
1.7,8.481939e-05,0.000152587890625
1.72,7.982671e-05,0.000152587890625
1.74,5.330786e-05,9.1552734375e-05
1.76,0.0001519727,0.0013427734375
1.78,0.0006229721,0.003021240234375
1.8,0.0008497869,0.003021240234375
1.82,0.0006814712,0.002532958984375
1.84,0.00045670004,0.001251220703125
1.86,0.00045236468,0.000701904296875
1.88,0.00034904765,0.00067138671875
1.9,0.00016194956,0.0003662109375
1.92,0.000555437,0.002655029296875
1.94,0.0008596735,0.002716064453125
1.96,0.0008035526,0.002716064453125
1.98,0.00041503637,0.0018310546875
2.0,0.0002899463,0.000579833984375
2.02,0.0002698526,0.000579833984375
2.04,0.00013583117,0.0003662109375
2.06,0.00010767864,0.000213623046875
2.08,0.0017404382,0.01190185546875
2.1,0.0039987043,0.018218994140625
2.12,0.0056800446,0.021148681640625
2.14,0.0060710213,0.021148681640625
2.16,0.020483304,0.064422607421875
2.18,0.03369935,0.081024169921875
2.2,0.034511913,0.081024169921875
2.22,0.02904913,0.06024169921875
2.24,0.028059337,0.05621337890625
2.26,0.030478504,0.06414794921875
2.28,0.031953264,0.06414794921875
2.3,0.032242093,0.06414794921875
2.32,0.030840175,0.061248779296875
2.34,0.029006565,0.05859375
2.36,0.027988201,0.056182861328125
2.38,0.02708647,0.056182861328125
2.4,0.026047796,0.054840087890625
2.42,0.025195796,0.05419921875
2.44,0.024876248,0.051544189453125
2.46,0.025002494,0.051544189453125
2.48,0.024951808,0.048828125
2.5,0.0235677,0.0465087890625
2.52,0.021711841,0.043060302734375
2.54,0.020970138,0.040924072265625
2.56,0.020598285,0.037353515625
2.58,0.019869026,0.036102294921875
2.6,0.018975727,0.033111572265625
2.62,0.018844796,0.032684326171875
2.64,0.018508367,0.033782958984375
2.66,0.019441225,0.033782958984375
2.68,0.019622004,0.033905029296875
2.7,0.019448662,0.034637451171875
2.72,0.016629767,0.0599365234375
2.74,0.015727755,0.0599365234375
2.76,0.033969026,0.099609375
2.78,0.038906667,0.113800048828125
2.8,0.034724962,0.113800048828125
2.82,0.037597682,0.113800048828125
2.84,0.032601416,0.102996826171875
2.86,0.02898897,0.082916259765625
2.88,0.02863417,0.093017578125
2.9,0.029758735,0.093017578125
2.92,0.027895596,0.082366943359375
2.94,0.023514612,0.0675048828125
2.96,0.025247904,0.074371337890625
2.98,0.025111027,0.074371337890625
3.0,0.023458077,0.06793212890625
3.02,0.02448155,0.08233642578125
3.04,0.02513263,0.08233642578125
3.06,0.023965215,0.068695068359375
3.08,0.021169115,0.068695068359375
3.1,0.024033071,0.068695068359375
3.12,0.02287812,0.060089111328125
3.14,0.021817656,0.05731201171875
3.16,0.020514766,0.049346923828125
3.18,0.022914909,0.049346923828125
3.2,0.021314189,0.044525146484375
3.22,0.019943666,0.038665771484375
3.24,0.021244098,0.039031982421875
3.26,0.021681264,0.040679931640625
3.28,0.020420754,0.04180908203125
3.3,0.019234126,0.042877197265625
3.32,0.02188315,0.04827880859375
3.34,0.021813923,0.057647705078125
3.36,0.020686535,0.06512451171875
3.38,0.022777004,0.065521240234375
3.4,0.025453692,0.065521240234375
3.42,0.0232026,0.058258056640625
3.44,0.022185182,0.05401611328125
3.46,0.0258063,0.06256103515625
3.48,0.025457805,0.068634033203125
3.5,0.021636166,0.068634033203125
3.52,0.023041004,0.0673828125
3.54,0.026161974,0.0673828125
3.56,0.022956,0.06585693359375
3.58,0.022516722,0.063446044921875
3.6,0.025676174,0.063446044921875
3.62,0.024942486,0.05584716796875
3.64,0.020893054,0.05584716796875
3.66,0.023627229,0.06011962890625
3.68,0.05347954,0.1793212890625
3.7,0.056818713,0.1793212890625
3.72,0.041324392,0.11700439453125
3.74,0.041978423,0.103912353515625
3.76,0.037771966,0.103912353515625
3.78,0.030532401,0.07989501953125
3.8,0.029844591,0.0780029296875
3.82,0.028232023,0.0692138671875
3.84,0.027640568,0.0692138671875
3.86,0.027544703,0.063873291015625
3.88,0.027540432,0.061920166015625
3.9,0.02582133,0.05712890625
3.92,0.026983513,0.05712890625
3.94,0.026855258,0.073028564453125
3.96,0.027646704,0.073028564453125
3.98,0.026971059,0.073028564453125
4.0,0.02647971,0.054443359375
4.02,0.024238944,0.051483154296875
4.04,0.02325694,0.045989990234375
4.06,0.023307987,0.046234130859375
4.08,0.024186624,0.0496826171875
4.1,0.02385323,0.0496826171875
4.12,0.024125572,0.04913330078125
4.14,0.025293084,0.04913330078125
4.16,0.025045598,0.0489501953125
4.18,0.024121845,0.050628662109375
4.2,0.023811936,0.050750732421875
4.22,0.023681542,0.051544189453125
4.24,0.022091204,0.053955078125
4.26,0.021597195,0.053955078125
4.28,0.022134306,0.05426025390625
4.3,0.02214025,0.0611572265625
4.32,0.022588661,0.06121826171875
4.34,0.024101406,0.065155029296875
4.36,0.023965612,0.066253662109375
4.38,0.023514923,0.066253662109375
4.4,0.02361368,0.066253662109375
4.42,0.023996398,0.0638427734375
4.44,0.02253522,0.0609130859375
4.46,0.021921942,0.059234619140625
4.48,0.021803563,0.058319091796875
4.5,0.02135946,0.058319091796875
4.52,0.02089047,0.055145263671875
4.54,0.022008572,0.053558349609375
4.56,0.023008833,0.065277099609375
4.58,0.022920547,0.067718505859375
4.6,0.023961477,0.068389892578125
4.62,0.0269655,0.076171875
4.64,0.025315946,0.076171875
4.66,0.023878973,0.055267333984375
4.68,0.023222866,0.05023193359375
4.7,0.022657558,0.04669189453125
4.72,0.021601008,0.04718017578125
4.74,0.022044986,0.04718017578125
4.76,0.02211617,0.0428466796875
4.78,0.022259908,0.045379638671875
4.8,0.02247534,0.045379638671875
4.82,0.02216272,0.045379638671875
4.84,0.02227206,0.043487548828125
4.86,0.021956407,0.042694091796875
4.88,0.021245077,0.044281005859375
4.9,0.021103663,0.046661376953125
4.92,0.023119457,0.0560302734375
4.94,0.025922433,0.06829833984375
4.96,0.023680018,0.06829833984375
4.98,0.0183618,0.042083740234375
5.0,0.016486758,0.042083740234375
5.02,0.0114825675,0.029541015625
5.04,0.008751925,0.024139404296875
5.06,0.0075794673,0.0172119140625
5.08,0.0064567393,0.015655517578125
5.1,0.0059240833,0.01568603515625
5.12,0.006457942,0.01568603515625
5.14,0.006202182,0.014739990234375
5.16,0.0053733066,0.0303955078125
5.18,0.0073694466,0.051239013671875
5.2,0.01162538,0.051239013671875
5.22,0.04315272,0.142303466796875
5.24,0.05279994,0.142303466796875
5.26,0.046650346,0.12957763671875
5.28,0.039740697,0.10089111328125
5.3,0.032025233,0.0849609375
5.32,0.025394537,0.065948486328125
5.34,0.025945729,0.065948486328125
5.36,0.025102824,0.065948486328125
5.38,0.02472306,0.05670166015625
5.4,0.02499153,0.060699462890625
5.42,0.023881115,0.060699462890625
5.44,0.02480579,0.054656982421875
5.46,0.024212688,0.05194091796875
5.48,0.023841314,0.05657958984375
5.5,0.024043834,0.05657958984375
5.52,0.024698274,0.053253173828125
5.54,0.025312291,0.052764892578125
5.56,0.025131887,0.052764892578125
5.58,0.023889238,0.052764892578125
5.6,0.024188839,0.052459716796875
5.62,0.024915174,0.052459716796875
5.64,0.024193581,0.048858642578125
5.66,0.0235158,0.04620361328125
5.68,0.023712609,0.050018310546875
5.7,0.023530379,0.050018310546875
5.72,0.022973726,0.046539306640625
5.74,0.022811657,0.0413818359375
5.76,0.023552662,0.04742431640625
5.78,0.024646651,0.0540771484375
5.8,0.025833424,0.056304931640625
5.82,0.02580198,0.056304931640625
5.84,0.024423974,0.0521240234375
5.86,0.02520026,0.058380126953125
5.88,0.027088609,0.060791015625
5.9,0.028511094,0.06268310546875
5.92,0.026784595,0.06268310546875
5.94,0.025690734,0.06268310546875
5.96,0.02520045,0.0526123046875
5.98,0.025210721,0.05181884765625
6.0,0.025017938,0.05181884765625
6.02,0.02389897,0.05181884765625
6.04,0.022083974,0.0433349609375
6.06,0.019571194,0.03594970703125
6.08,0.01502996,0.02764892578125
6.1,0.011370602,0.029937744140625
6.12,0.0111244405,0.039031982421875
6.14,0.016460104,0.05316162109375
6.16,0.03368813,0.102081298828125
6.18,0.03738728,0.102081298828125
6.2,0.029184632,0.0819091796875
6.22,0.027576327,0.06622314453125
6.24,0.028121395,0.0650634765625
6.26,0.027262742,0.0650634765625
6.28,0.024004646,0.063323974609375
6.3,0.02487773,0.062957763671875
6.32,0.02633816,0.062957763671875
6.34,0.025299678,0.05194091796875
6.36,0.024197059,0.06195068359375
6.38,0.023445738,0.06195068359375
6.4,0.024682485,0.062042236328125
6.42,0.02532542,0.080047607421875
6.44,0.024594747,0.080047607421875
6.46,0.02379955,0.052215576171875
6.48,0.025173306,0.063385009765625
6.5,0.022786785,0.063385009765625
6.52,0.023403553,0.063385009765625
6.54,0.022695804,0.054962158203125
6.56,0.02438356,0.05615234375
6.58,0.023658464,0.05615234375
6.6,0.023936987,0.057373046875
6.62,0.02221262,0.057373046875
6.64,0.02396318,0.057373046875
6.66,0.024371576,0.05517578125
6.68,0.025171688,0.055755615234375
6.7,0.025047494,0.055755615234375
6.72,0.024722978,0.056976318359375
6.74,0.02635053,0.06231689453125
6.76,0.03343415,0.1011962890625
