time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.36,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.42,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.48,2.14297e-06,3.0517578125e-05
0.5,1.1135198e-05,6.103515625e-05
0.52,2.8606844e-05,0.000213623046875
0.54,0.00019922476,0.00128173828125
0.56,0.001709825,0.011199951171875
0.58,0.007137533,0.032318115234375
0.6,0.013448721,0.04632568359375
0.62,0.028648823,0.104888916015625
0.64,0.06464476,0.18743896484375
0.66,0.09462825,0.1932373046875
0.68,0.1028291,0.19854736328125
0.7,0.107674696,0.247772216796875
0.72,0.12782077,0.247772216796875
0.74,0.14318162,0.254486083984375
0.76,0.14956746,0.272064208984375
0.78,0.14652787,0.272064208984375
0.8,0.14358613,0.272064208984375
0.82,0.14098173,0.2607421875
0.84,0.14545411,0.27618408203125
0.86,0.14539449,0.27618408203125
0.88,0.14440714,0.344451904296875
0.9,0.14826737,0.344451904296875
0.92,0.14454749,0.344451904296875
0.94,0.15375979,0.35980224609375
0.96,0.15567158,0.35980224609375
0.98,0.15682648,0.340545654296875
1.0,0.15938883,0.361968994140625
1.02,0.16311854,0.361968994140625
1.04,0.1595414,0.3380126953125
1.06,0.1594143,0.360565185546875
1.08,0.16526912,0.382843017578125
1.1,0.16078962,0.416229248046875
1.12,0.17545578,0.43499755859375
1.14,0.18039046,0.463470458984375
1.16,0.16697288,0.463470458984375
1.18,0.18918872,0.4632568359375
1.2,0.19033663,0.4632568359375
1.22,0.20814899,0.508209228515625
1.24,0.20865835,0.508209228515625
1.26,0.18237482,0.508209228515625
1.28,0.19190715,0.503143310546875
1.3,0.2113665,0.503143310546875
1.32,0.19111407,0.4368896484375
1.34,0.1953117,0.44769287109375
1.36,0.19823399,0.44769287109375
1.38,0.17218159,0.444427490234375
1.4,0.18068701,0.51898193359375
1.42,0.21120547,0.51898193359375
1.44,0.21251617,0.51898193359375
1.46,0.20349985,0.47113037109375
1.48,0.1980891,0.47113037109375
1.5,0.18348984,0.4644775390625
1.52,0.20364475,0.45745849609375
1.54,0.21021348,0.45745849609375
1.56,0.20093435,0.438140869140625
1.58,0.2059274,0.41064453125
1.6,0.20549314,0.420501708984375
1.62,0.17605618,0.420501708984375
1.64,0.15858825,0.42681884765625
1.66,0.18520366,0.44482421875
1.68,0.19468357,0.44482421875
1.7,0.1960095,0.44482421875
1.72,0.1767386,0.40032958984375
1.74,0.15491295,0.403656005859375
1.76,0.166386,0.40460205078125
1.78,0.17374377,0.40460205078125
1.8,0.1875198,0.435028076171875
1.82,0.19989474,0.435028076171875
