time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.36,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.42,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.48,0.0,0.0
0.5,0.0,0.0
0.52,0.0,0.0
0.54,0.0,0.0
0.56,0.0,0.0
0.58,0.0,0.0
0.6,0.0,0.0
0.62,0.0,0.0
0.64,0.0,0.0
0.66,0.0,0.0
0.68,0.0,0.0
0.7,0.0,0.0
0.72,0.0,0.0
0.74,0.0,0.0
0.76,0.0,0.0
0.78,0.0,0.0
0.8,0.0,0.0
0.82,0.0,0.0
0.84,0.0,0.0
0.86,0.0,0.0
0.88,0.0,0.0
0.9,0.0,0.0
0.92,0.0,0.0
0.94,0.0,0.0
0.96,0.0,0.0
0.98,0.0,0.0
1.0,0.0,0.0
1.02,0.007067754,0.024200439453125
1.04,0.011633105,0.024200439453125
1.06,0.010856287,0.024200439453125
1.08,0.0037120313,0.0233154296875
1.1,0.00011148388,0.00030517578125
1.12,7.38812e-05,0.0001220703125
1.14,4.9381393e-05,6.103515625e-05
1.16,3.4977053e-05,6.103515625e-05
1.18,2.9320341e-05,3.0517578125e-05
1.2,2.1322283e-05,3.0517578125e-05
1.22,7.042518e-06,3.0517578125e-05
1.24,0.0,0.0
1.26,0.0,0.0
1.28,0.0,0.0
1.3,0.0,0.0
1.32,0.0,0.0
1.34,0.0,0.0
1.36,0.0,0.0
1.38,0.0,0.0
1.4,1.478494e-05,0.00018310546875
1.42,0.009657399,0.025543212890625
1.44,0.013476632,0.025543212890625
1.46,0.010999872,0.02459716796875
1.48,0.0041308445,0.02459716796875
1.5,0.00013076332,0.000213623046875
1.52,8.976461e-05,0.0001220703125
1.54,6.27711e-05,9.1552734375e-05
1.56,4.3254033e-05,6.103515625e-05
1.58,3.0517578e-05,3.0517578125e-05
1.6,2.6017457e-05,3.0517578125e-05
1.62,1.648834e-05,3.0517578125e-05
1.64,0.0,0.0
1.66,0.0,0.0
1.68,0.0,0.0
1.7,0.0,0.0
1.72,0.0,0.0
1.74,0.0,0.0
1.76,0.0,0.0
1.78,0.0,0.0
1.8,5.721369e-05,0.00054931640625
1.82,0.009341706,0.024871826171875
1.84,0.01339676,0.024871826171875
1.86,0.011261701,0.024871826171875
1.88,0.0044093984,0.02362060546875
1.9,0.00011000347,0.000152587890625
1.92,7.649532e-05,0.0001220703125
1.94,5.021139e-05,6.103515625e-05
1.96,3.6139394e-05,6.103515625e-05
1.98,2.9878875e-05,3.0517578125e-05
2.0,2.2084032e-05,3.0517578125e-05
2.02,9.091852e-06,3.0517578125e-05
