time_s,rms,peak
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,2.2739729e-05,0.00030517578125
0.34,0.012007354,0.052215576171875
0.36,0.02559164,0.1458740234375
0.38,0.04696085,0.256011962890625
0.4,0.08072071,0.405731201171875
0.42,0.11792866,0.5128173828125
0.44,0.14485525,0.5128173828125
0.46,0.15492807,0.5128173828125
0.48,0.15558378,0.52130126953125
0.5,0.15129073,0.52130126953125
0.52,0.142852,0.49212646484375
0.54,0.134292,0.39422607421875
0.56,0.13337684,0.39422607421875
0.58,0.13126132,0.375091552734375
0.6,0.12922092,0.336883544921875
0.62,0.1283255,0.341888427734375
0.64,0.1318233,0.341888427734375
0.66,0.13446862,0.341888427734375
0.68,0.1345149,0.310699462890625
0.7,0.13420945,0.31317138671875
0.72,0.13625579,0.327789306640625
0.74,0.12341363,0.327789306640625
0.76,0.09536857,0.302947998046875
0.78,0.07073029,0.2196044921875
0.8,0.06862222,0.140594482421875
0.82,0.0734357,0.149627685546875
0.84,0.075177535,0.1680908203125
0.86,0.14573681,0.58392333984375
0.88,0.22961272,0.76654052734375
0.9,0.2708622,0.851715087890625
0.92,0.25842643,0.851715087890625
0.94,0.24248305,0.796875
0.96,0.23080735,0.75750732421875
0.98,0.24368222,0.84405517578125
1.0,0.25293654,0.84405517578125
1.02,0.23826088,0.84405517578125
1.04,0.20147492,0.71197509765625
1.06,0.16169372,0.613494873046875
1.08,0.14622962,0.556640625
1.1,0.15595973,0.560546875
1.12,0.15275842,0.560546875
1.14,0.10364725,0.4666748046875
1.16,0.045092955,0.255340576171875
1.18,0.027909191,0.05877685546875
1.2,0.028227419,0.0584716796875
1.22,0.025541482,0.0584716796875
1.24,0.018182868,0.052490234375
1.26,0.020040508,0.108673095703125
1.28,0.10559105,0.556060791015625
1.3,0.1734397,0.569976806640625
1.32,0.21723673,0.609771728515625
1.34,0.23049985,0.773773193359375
1.36,0.2691607,0.83416748046875
1.38,0.3311892,0.999969482421875
1.4,0.3644617,0.999969482421875
1.42,0.3197969,0.935821533203125
1.44,0.27898034,0.902191162109375
1.46,0.23922756,0.902191162109375
1.48,0.25992107,0.774566650390625
1.5,0.27442756,0.74951171875
1.52,0.25635338,0.724853515625
1.54,0.23327197,0.70928955078125
1.56,0.21550962,0.620941162109375
1.58,0.20433797,0.620941162109375
1.6,0.17365503,0.479461669921875
1.62,0.15308326,0.42059326171875
1.64,0.14250615,0.4459228515625
1.66,0.12811431,0.4459228515625
1.68,0.10888399,0.31988525390625
1.7,0.08184473,0.2861328125
1.72,0.07051688,0.243438720703125
1.74,0.06337769,0.17645263671875
1.76,0.06327805,0.18408203125
1.78,0.058288552,0.18408203125
